Bus,Phases,Voltages (V),Load (kW),Load (kvar)
p4udt4-p4uhs0_4x,3,2378.7;2378.7;2378.7,0.0,0.0
p4udm7,2,123.6;123.6,0.0,0.0
p4ulv5,2,123.6;123.6,4.6,1.2
p4udm9,2,123.6;123.6,0.0,0.0
p4ulv38,2,123.6;123.6,5.6,0.5
p4udt4lv,2,123.6;123.6,0.0,0.0
p4udm8,2,123.6;123.6,0.0,0.0
p4ulv30,2,123.6;123.6,16.4,3.3
p4udt5lv,2,123.6;123.6,0.0,0.0
p4ulv6,2,123.6;123.6,3.7,0.9
p4udm11,2,123.6;123.6,0.0,0.0
p4ulv40,2,123.6;123.6,3.5,0.9
p4udt9lv,2,123.6;123.6,0.0,0.0
p4ulv10,2,123.6;123.6,3.5,0.9
p4udt15lv,2,123.6;123.6,0.0,0.0
p4ulv17,2,123.6;123.6,9.4,2.5
p4udt16lv,2,123.6;123.6,0.0,0.0
p4ulv22,2,123.6;123.6,7.1,2.1
p4udm23,2,123.6;123.6,0.0,0.0
p4ulv18,2,123.6;123.6,3.4,0.8
p4udm24,2,123.6;123.6,0.0,0.0
p4ulv21,2,123.6;123.6,4.3,1.2
p4udt19lv,2,123.6;123.6,0.0,0.0
p4ulv23,2,123.6;123.6,7.3,0.3
p4udm29,2,123.6;123.6,0.0,0.0
p4ulv24,2,123.6;123.6,7.3,0.3
p4udt20lv,2,123.6;123.6,0.0,0.0
p4ulv26,2,123.6;123.6,3.4,0.8
p4udm30,2,123.6;123.6,0.0,0.0
p4ulv25,2,123.6;123.6,5.0,1.3
p4udt25lv,2,123.6;123.6,0.0,0.0
p4ulv34,2,123.6;123.6,11.5,1.9
p4udt27lv,2,123.6;123.6,0.0,0.0
p4ulv37,2,123.6;123.6,16.4,1.1
p4udt16-p4udt21xx,1,2378.7,0.0,0.0
p4udt16-p4udt21x,1,2378.7,0.0,0.0
p4udt18-p4udt25xx,1,2378.7,0.0,0.0
p4udt25,1,2378.7,0.0,0.0
p4udt19-p4udt20x,1,2378.7,0.0,0.0
p4udt19,1,2378.7,0.0,0.0
p4udt20-p4udt27x,1,2378.7,0.0,0.0
p4udt20,1,2378.7,0.0,0.0
p4udt24lv,3,285.4;285.4;285.4,0.0,0.0
p4ulv33,3,285.4;285.4;285.4,105.1,6.2
p4udt24-p4udt4x,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt24,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt18lv,3,285.4;285.4;285.4,0.0,0.0
p4ulv20,3,285.4;285.4;285.4,23.0,5.9
p4udt22lv,3,285.4;285.4;285.4,0.0,0.0
p4ulv28,3,285.4;285.4;285.4,19.4,4.5
p4udt21lv,3,285.4;285.4;285.4,0.0,0.0
p4ulv27,3,285.4;285.4;285.4,76.8,7.2
p4udt21-p4udt9x,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt21,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt15-p4udt9x,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt9,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt15-p4udt22x,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt15,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt22-p4udt5x,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt22,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt18-p4udt5x,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt5,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt18-p4udt27x,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt18,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt27-p4udt4x,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt27,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt4,3,2378.7;2378.7;2378.7,0.0,0.0
p4udt16-p4udt21xxx,1,2378.7,0.0,0.0
p4udt16,1,2378.7,0.0,0.0
p4udt18-p4udt25x,1,2378.7,0.0,0.0
p4udt20-p4udt27xx,1,2378.7,0.0,0.0
